INSTNM,INSTURL,SAT_AVG,ADM_RATE,ACT_MEDIAN,GRAD_DEBT_MDN,UGDS,PCTPELL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,C200_4,COSTT4_A,CITY,STABBR,IS_PUBLIC,IS_CITY
Alabama A & M University,www.aamu.edu/,947,0.6622,NA,31000,5726,0.6441,0.018,0.9043,0.015,0.0017,0.0012,0.001,0.0182,0.0196,0.021,0.2962,23751,Normal,AL,1,1
University of Alabama at Birmingham,https://www.uab.edu/,1251,0.8842,NA,22300,12118,0.3318,0.4832,0.2657,0.0776,0.0915,0.002,7e-4,0.0515,0.0214,0.0064,0.649,27826,Birmingham,AL,1,1
Amridge University,https://www.amridgeuniversity.edu/,NA,NA,NA,32189,226,0.6842,0.2788,0.6681,0.031,0,0.0044,0.0044,0,0,0.0133,0.6667,NA,Montgomery,AL,0,1
University of Alabama in Huntsville,www.uah.edu/,1321,0.7425,NA,20705,6650,0.225,0.694,0.0907,0.0719,0.0423,0.0074,0.0015,0.0508,0.0129,0.0286,0.6296,27098,Huntsville,AL,1,1
Alabama State University,www.alasu.edu/,977,0.9564,NA,31000,3322,0.7203,0.0223,0.9082,0.0111,0.0018,0.0015,0.0012,0.0126,0.0205,0.0208,0.2972,22028,Montgomery,AL,1,1
The University of Alabama,www.ua.edu/,1287,0.7582,32,22750,32323,0.1799,0.7227,0.1103,0.0692,0.0148,0.0029,9e-4,0.0356,0.0078,0.0359,0.7298,32024,Tuscaloosa,AL,1,1
Central Alabama Community College,www.cacc.edu/,NA,NA,NA,9766,1134,0.2853,0.6508,0.2601,0.0423,0.0044,9e-4,0,0.0353,0.0044,0.0018,NA,19815,Alexander City,AL,1,0
Athens State University,https://www.athens.edu/,NA,NA,NA,18051,2407,0.4238,0.7603,0.1172,0.0536,0.0075,0.0137,8e-4,0.0353,0.0037,0.0079,NA,NA,Athens,AL,1,0
Auburn University at Montgomery,www.aum.edu/,1090,0.9263,NA,25000,2693,0.4275,0.4218,0.4203,0.0178,0.033,0.0041,0.0011,0.0486,0.046,0.0071,0.3993,21873,Montgomery,AL,1,1
Auburn University,www.auburn.edu/,1318,0.5047,NA,21000,25732,0.1226,0.8303,0.0418,0.0432,0.0283,0.0026,6e-4,0.0299,0.0199,0.0034,0.8216,34402,Auburn,AL,1,1
Birmingham-Southern College,www.bsc.edu/,1197,0.5194,NA,25000,713,0.2256,0.7041,0.1613,0.0799,0.0182,0,0,0.0154,0.0196,0.0014,0.7052,38385,Birmingham,AL,0,1
Chattahoochee Valley Community College,https://www.cv.edu/,NA,NA,NA,10500,1044,0.3931,0.3506,0.4923,0.0824,0.0105,0.001,0.001,0.0575,0,0.0048,NA,12032,Phenix City,AL,1,1
South University-Montgomery,www.southuniversity.edu/,NA,NA,NA,26123,302,0.6952,0.1755,0.7815,0.0066,0.0066,0,0,0.0132,0.0066,0.0099,0.1364,30704,Montgomery,AL,0,1
Enterprise State Community College,www.escc.edu/,NA,NA,NA,7499,1476,0.3502,0.6152,0.2161,0.0623,0.0108,0.0095,0.002,0.0671,0.0075,0.0095,NA,14798,Enterprise,AL,1,0
Coastal Alabama Community College,www.coastalalabama.edu/,NA,NA,NA,11000,4714,0.346,0.6245,0.2403,0.0482,0.0066,0.0165,0.0019,0.0566,0.0028,0.0025,NA,15171,Bay Minette,AL,1,0
Faulkner University,www.faulkner.edu/,1016,0.6613,NA,23000,1555,0.4381,0.4508,0.4019,0.0559,0.0096,0.0032,0.0013,0.0129,0.0418,0.0225,0.1661,36910,Montgomery,AL,0,1
Gadsden State Community College,www.gadsdenstate.edu/,NA,NA,NA,NA,3619,0.4736,0.6709,0.1802,0.0729,0.0099,0.003,6e-4,0.0531,0.0083,0.0011,NA,10687,Gadsden,AL,1,1
New Beginning College of Cosmetology,www.nbccosmetology.com/,NA,NA,NA,9500,39,0.4557,0.8205,0,0.1795,0,0,0,0,0,0,NA,NA,Albertville,AL,0,0
George C Wallace Community College-Dothan,www.wallace.edu/,NA,NA,NA,NA,3053,0.487,0.5237,0.3344,0.0714,0.0108,0.0016,0.002,0.0481,0.0029,0.0049,NA,9863,Dothan,AL,1,1
George C Wallace State Community College-Hanceville,https://www.wallacestate.edu/,NA,NA,NA,11000,4413,0.3229,0.763,0.0872,0.0947,0.0075,0.0039,5e-4,0.0363,0.0061,9e-4,NA,18748,Hanceville,AL,1,0
George C Wallace State Community College-Selma,https://www.wccs.edu/,NA,NA,NA,NA,828,0.3677,0.1329,0.814,0.0133,0.0085,0.0012,0,0.0254,0.0036,0.0012,NA,9505,Selma,AL,1,0
Herzing University-Birmingham,https://www.herzing.edu/,NA,0.9449,NA,21500,445,0.6368,0.2674,0.6292,0.0337,0.0022,0.0022,0.0045,0.0337,0,0.027,NA,27195,Birmingham,AL,0,1
Huntingdon College,https://www.huntingdon.edu/,1148,0.7083,NA,27000,865,0.3879,0.6647,0.2,0.0566,0.0046,0.0058,0.0023,0.0462,0,0.0197,0.4462,39686,Montgomery,AL,0,1
Heritage Christian University,www.hcu.edu/,NA,1,NA,NA,63,0.3537,0.8254,0.0952,0.0476,0,0.0159,0,0,0.0159,0,0.25,NA,Florence,AL,0,1
