INSTNM,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTPELL
Alabama A & M University,5726,0.4172,0.5828,0.018,0.9043,0.015,0.0017,0.0012,0.001,0.0182,0.0196,0.021,0.6441
University of Alabama at Birmingham,12118,0.3737,0.6263,0.4832,0.2657,0.0776,0.0915,0.002,7e-4,0.0515,0.0214,0.0064,0.3318
Amridge University,226,0.3717,0.6283,0.2788,0.6681,0.031,0,0.0044,0.0044,0,0,0.0133,0.6842
University of Alabama in Huntsville,6650,0.6096,0.3904,0.694,0.0907,0.0719,0.0423,0.0074,0.0015,0.0508,0.0129,0.0286,0.225
Alabama State University,3322,0.3624,0.6376,0.0223,0.9082,0.0111,0.0018,0.0015,0.0012,0.0126,0.0205,0.0208,0.7203
The University of Alabama,32323,0.4395,0.5605,0.7227,0.1103,0.0692,0.0148,0.0029,9e-4,0.0356,0.0078,0.0359,0.1799
Central Alabama Community College,1134,0.3792,0.6208,0.6508,0.2601,0.0423,0.0044,9e-4,0,0.0353,0.0044,0.0018,0.2853
Athens State University,2407,0.2842,0.7158,0.7603,0.1172,0.0536,0.0075,0.0137,8e-4,0.0353,0.0037,0.0079,0.4238
Auburn University at Montgomery,2693,0.339,0.661,0.4218,0.4203,0.0178,0.033,0.0041,0.0011,0.0486,0.046,0.0071,0.4275
Auburn University,25732,0.4995,0.5005,0.8303,0.0418,0.0432,0.0283,0.0026,6e-4,0.0299,0.0199,0.0034,0.1226
Birmingham-Southern College,713,0.5512,0.4488,0.7041,0.1613,0.0799,0.0182,0,0,0.0154,0.0196,0.0014,0.2256
Chattahoochee Valley Community College,1044,0.3228,0.6772,0.3506,0.4923,0.0824,0.0105,0.001,0.001,0.0575,0,0.0048,0.3931
South University-Montgomery,302,0.1589,0.8411,0.1755,0.7815,0.0066,0.0066,0,0,0.0132,0.0066,0.0099,0.6952
Enterprise State Community College,1476,0.5047,0.4953,0.6152,0.2161,0.0623,0.0108,0.0095,0.002,0.0671,0.0075,0.0095,0.3502
Coastal Alabama Community College,4714,0.3432,0.6568,0.6245,0.2403,0.0482,0.0066,0.0165,0.0019,0.0566,0.0028,0.0025,0.346
Faulkner University,1555,0.4624,0.5376,0.4508,0.4019,0.0559,0.0096,0.0032,0.0013,0.0129,0.0418,0.0225,0.4381
Gadsden State Community College,3619,0.3573,0.6427,0.6709,0.1802,0.0729,0.0099,0.003,6e-4,0.0531,0.0083,0.0011,0.4736
New Beginning College of Cosmetology,39,0,1,0.8205,0,0.1795,0,0,0,0,0,0,0.4557
