INSTNM,INSTURL,SAT_AVG,ADM_RATE,IS_PUBLIC,IS_CITY
Alabama A & M University,www.aamu.edu/,947,0.6622,1,1
University of Alabama at Birmingham,https://www.uab.edu/,1251,0.8842,1,1
Amridge University,https://www.amridgeuniversity.edu/,NA,NA,0,1
University of Alabama in Huntsville,www.uah.edu/,1321,0.7425,1,1
Alabama State University,www.alasu.edu/,977,0.9564,1,1
The University of Alabama,www.ua.edu/,1287,0.7582,1,1
Central Alabama Community College,www.cacc.edu/,NA,NA,1,0
Athens State University,https://www.athens.edu/,NA,NA,1,0
Auburn University at Montgomery,www.aum.edu/,1090,0.9263,1,1
Auburn University,www.auburn.edu/,1318,0.5047,1,1
Birmingham-Southern College,www.bsc.edu/,1197,0.5194,0,1
Chattahoochee Valley Community College,https://www.cv.edu/,NA,NA,1,1
South University-Montgomery,www.southuniversity.edu/,NA,NA,0,1
Enterprise State Community College,www.escc.edu/,NA,NA,1,0
Coastal Alabama Community College,www.coastalalabama.edu/,NA,NA,1,0
Faulkner University,www.faulkner.edu/,1016,0.6613,0,1
Gadsden State Community College,www.gadsdenstate.edu/,NA,NA,1,1
New Beginning College of Cosmetology,www.nbccosmetology.com/,NA,NA,0,0
George C Wallace Community College-Dothan,www.wallace.edu/,NA,NA,1,1
George C Wallace State Community College-Hanceville,https://www.wallacestate.edu/,NA,NA,1,0
George C Wallace State Community College-Selma,https://www.wccs.edu/,NA,NA,1,0
Herzing University-Birmingham,https://www.herzing.edu/,NA,0.9449,0,1
Huntingdon College,https://www.huntingdon.edu/,1148,0.7083,0,1
Heritage Christian University,www.hcu.edu/,NA,1,0,1
J. F. Drake State Community and Technical College,https://drakestate.edu/,NA,NA,1,1
J F Ingram State Technical College,www.istc.edu/,NA,NA,1,0
Jacksonville State University,www.jsu.edu/,1055,0.7622,1,1
Jefferson State Community College,www.jeffersonstate.edu/,NA,NA,1,1
John C Calhoun State Community College,https://calhoun.edu/,NA,NA,1,1
Lawson State Community College,www.lawsonstate.edu/,NA,NA,1,1
University of West Alabama,www.uwa.edu/,1015,0.8711,1,0
Lurleen B Wallace Community College,https://www.lbwcc.edu/,NA,NA,1,0
Marion Military Institute,www.marionmilitary.edu/,1043,0.5917,1,0
Miles College,https://www.miles.edu/,NA,NA,0,1
University of Mobile,https://www.umobile.edu/,1220,0.7251,0,0
University of Montevallo,www.montevallo.edu/,NA,0.539,1,0
Northwest Shoals Community College,https://www.nwscc.edu/,NA,NA,1,1
University of North Alabama,https://www.una.edu/,NA,0.9648,1,1
Northeast Alabama Community College,https://www.nacc.edu/,NA,NA,1,0
Oakwood University,https://www2.oakwood.edu/,NA,0.5051,0,1
Reid State Technical College,www.rstc.edu/,NA,NA,1,0
Bishop State Community College,www.bishop.edu/,NA,NA,1,1
Samford University,www.samford.edu/,1203,0.8223,0,1
Selma University,https://selmau.edu/,NA,NA,0,0
Shelton State Community College,www.sheltonstate.edu/,NA,NA,1,1
Snead State Community College,www.snead.edu/,NA,NA,1,0
University of South Alabama,www.southalabama.edu/,1119,0.6549,1,1
Spring Hill College,https://www.shc.edu/,1090,0.591,0,1
Stillman College,https://stillman.edu/,NA,0.7422,0,1
Talladega College,www.talladega.edu/,NA,0.9925,0,0
H Councill Trenholm State Community College,www.trenholmstate.edu/,NA,NA,1,1
Troy University,www.troy.edu/,1086,0.9261,1,0
Tuskegee University,www.tuskegee.edu/,1121,0.3143,0,0
United States Sports Academy,www.ussa.edu/,NA,0.3529,0,1
Bevill State Community College,www.bscc.edu/,NA,NA,1,0
University of Alaska Anchorage,www.uaa.alaska.edu/,NA,0.6652,1,1
Alaska Bible College,www.akbible.edu/,NA,NA,0,1
University of Alaska Fairbanks,www.uaf.edu/,NA,NA,1,1
University of Alaska Southeast,www.uas.alaska.edu/,NA,0.625,1,0
Alaska Pacific University,www.alaskapacific.edu/,NA,0.8621,0,1
Alaska Vocational Technical Center,www.avtec.edu/,NA,NA,1,0
Charter College,https://chartercollege.edu/,NA,NA,0,1
Alaska Career College,www.alaskacareercollege.edu/,NA,NA,0,1
