INSTNM,UGDS,ADM_RATE,ACT_MEDIAN,GRAD_DEBT_MDN
The University of Alabama,32323,0.7582,32,22750
University of South Alabama,8540,0.6549,28,24929
John Brown University,1415,0.6764,34,21250
Chapman University,7629,0.5561,36,20500
Dominican University of California,1178,0.9562,31,27000
Loyola Marymount University,7171,0.4029,38,19500
Pepperdine University,3629,0.4985,35,23510
University of San Francisco,5697,0.5077,36,23000
Scripps College,1077,0.3394,39,13500
Thomas Aquinas College,539,0.7871,32,18000
Westmont College,1310,0.7986,36,23250
Colorado School of Mines,5801,0.5971,40,23000
University of Denver,6059,0.7119,36,21844
Central Connecticut State University,7670,0.7553,29,22300
University of Delaware,18812,0.6511,37,24572
American University,7593,0.4738,38,22750
George Washington University,10848,0.4354,39,20449
Lynn University,2820,0.7395,27,17940
Florida Agricultural and Mechanical University,7516,0.2112,27,23548
Florida Atlantic University,23458,0.7344,28,17236
Florida College,589,0.6645,28,12000
Florida International University,38761,0.5884,30,16500
University of Florida,34102,0.2403,38,15000
University of Miami,12570,0.1851,39,17500
University of North Florida,13915,0.6227,29,15531
University of South Florida,36299,0.4096,33,17988
The University of Tampa,10093,0.4093,31,24211
Trinity Baptist College,363,0.625,23,24250
Trinity College of Florida,187,0.963,23,23250
University of West Florida,9042,0.5687,29,16624
Columbus State University,5537,0.9924,28,26000
Covenant College,858,0.8176,31,22500
Georgia Institute of Technology-Main Campus,18260,0.1646,41,21672
Georgia Southern University,21029,0.8963,28,23250
University of Georgia,31310,0.372,37,18500
University of Hawaii at Manoa,14306,0.6969,29,18500
University of Idaho,7363,0.7909,31,21982
Greenville University,873,0.9537,26,23875
University of Illinois Urbana-Champaign,34623,0.4369,40,19500
Lewis University,3665,0.7273,31,21500
Loyola University Chicago,11576,0.8139,36,24157
Millikin University,1458,0.5405,29,27000
North Central College,2360,0.5831,32,24500
Northwestern University,8960,0.0715,43,15000
University of Illinois Springfield,2292,0.8437,29,19128
Southern Illinois University-Edwardsville,8836,0.9721,29,20500
Wheaton College,2087,0.8998,36,23250
University of Evansville,1477,0.7765,33,24606
Franklin College,872,0.7058,30,27000
Hanover College,958,0.8397,35,25250
Indiana University-Indianapolis,16582,0.8139,31,20000
University of Southern Indiana,5344,0.9465,30,20105
Indiana University-Kokomo,2308,0.8469,28,16961
Indiana University-South Bend,3807,0.8599,28,21355
Indiana University-Bloomington,36571,0.8037,37,19509
Indiana University-Northwest,2582,0.767,29,21710
Indiana University-Southeast,3088,0.8312,29,19684
Indiana University-East,2446,0.7124,28,18000
Indiana Wesleyan University-Marion,1927,0.8221,30,24250
Wabash College,845,0.6278,35,27000
Cornell College,1074,0.8066,34,27000
Grand View University,1472,0.9838,26,22500
University of Northern Iowa,7599,0.944,29,19691
Wartburg College,1446,0.9941,31,27000
Alice Lloyd College,528,0.8557,27,19599
Eastern Kentucky University,11674,0.7809,28,22500
